gene	diffexp.log2fc	diffexp.fdr
ENSG00000168389	-2.990	0.000e+00
ENSG00000168394	-3.850	0.000e+00
ENSG00000181381	-2.990	0.000e+00
ENSG00000204592	-2.010	0.000e+00
ENSG00000179073	-6.650	0.000e+00
ENSG00000169629	-6.220	0.000e+00
ENSG00000168310	-1.990	0.000e+00
ENSG00000169679	-2.130	0.000e+00
ENSG00000167034	-2.560	0.000e+00
ENSG00000204642	-3.750	0.000e+00
ENSG00000157741	-1.980	0.000e+00
ENSG00000010030	-5.460	0.000e+00
ENSG00000108771	-5.380	0.000e+00
ENSG00000073605	-2.660	0.000e+00
ENSG00000121858	-4.000	0.000e+00
ENSG00000276216	-2.370	0.000e+00
ENSG00000182759	-5.870	0.000e+00
ENSG00000155287	-1.900	0.000e+00
ENSG00000214106	-2.450	0.000e+00
ENSG00000011422	-2.400	0.000e+00
ENSG00000023445	-2.630	0.000e+00
ENSG00000156500	-2.290	0.000e+00
ENSG00000073756	-2.500	0.000e+00
ENSG00000132530	-4.290	0.000e+00
ENSG00000120539	-2.270	0.000e+00
ENSG00000169896	-3.450	0.000e+00
ENSG00000226025	-6.730	0.000e+00
ENSG00000142089	-3.190	0.000e+00
ENSG00000130052	-5.170	0.000e+00
ENSG00000130066	-2.100	0.000e+00
ENSG00000129048	-5.540	0.000e+00
ENSG00000287190	-4.480	0.000e+00
ENSG00000131401	-5.700	0.000e+00
ENSG00000105137	-2.650	0.000e+00
ENSG00000120738	-3.710	0.000e+00
ENSG00000277775	-2.110	0.000e+00
ENSG00000181634	-2.610	0.000e+00
ENSG00000168685	-4.400	0.000e+00
ENSG00000179362	-4.900	0.000e+00
ENSG00000117228	-4.890	0.000e+00
ENSG00000117226	-2.130	0.000e+00
ENSG00000144802	-2.710	0.000e+00
ENSG00000082074	-1.990	0.000e+00
ENSG00000107864	-3.510	0.000e+00
ENSG00000168772	-4.970	0.000e+00
ENSG00000275221	-2.260	0.000e+00
ENSG00000225101	-6.580	0.000e+00
ENSG00000226453	-5.020	0.000e+00
ENSG00000059728	-3.010	0.000e+00
ENSG00000239713	-4.670	0.000e+00
