ensembl	hgnc	gos
ENSG00000111704	NANOG	GO:0000122|GO:0001158|GO:0001710|GO:0001714|GO:0003677|GO:0003682|GO:0003700|GO:0003714|GO:0005515|GO:0005634|GO:0005654|GO:0005730|GO:0006351|GO:0006355|GO:0008283|GO:0008284|GO:0008406|GO:0009790|GO:0009880|GO:0010033|GO:0010454|GO:0010468|GO:0017145|GO:0019827|GO:0030154|GO:0030514|GO:0032526|GO:0035019|GO:0043565|GO:0044212|GO:0045595|GO:0045596|GO:0045893|GO:0045931|GO:0045944|GO:0048863
ENSG00000136059	VILL	GO:0003779|GO:0005200|GO:0007010|GO:0015629|GO:0051693
ENSG00000033011	ALG1	GO:0000030|GO:0004578|GO:0005783|GO:0005789|GO:0006486|GO:0006488|GO:0009058|GO:0009103|GO:0016021|GO:0016757|GO:0018279|GO:0043687|GO:0044267|GO:0097502
ENSG00000146731	CCT6A	GO:0001669|GO:0002199|GO:0005524|GO:0005737|GO:0005829|GO:0005832|GO:0005874|GO:0006457|GO:0007339|GO:0044267|GO:0044297|GO:0051082|GO:0051084
ENSG00000229074	HLA-DRB1	GO:0000139|GO:0002381|GO:0002437|GO:0002455|GO:0005515|GO:0005765|GO:0005886|GO:0006955|GO:0009897|GO:0012507|GO:0016020|GO:0016045|GO:0019221|GO:0019882|GO:0019886|GO:0030658|GO:0030666|GO:0030669|GO:0031295|GO:0031902|GO:0032395|GO:0032588|GO:0032673|GO:0032689|GO:0035774|GO:0042088|GO:0042130|GO:0042605|GO:0042613|GO:0050852|GO:0051262|GO:0060333|GO:0071556|GO:2001179
ENSG00000133636	NTS	GO:0005184|GO:0005515|GO:0005576|GO:0007165|GO:0030133|GO:0050880
ENSG00000211592	IGKC	GO:0003823|GO:0005515|GO:0005576|GO:0005886|GO:0006955|GO:0006956|GO:0006958|GO:0038095|GO:0038096|GO:0045087|GO:0050776
ENSG00000054179	ENTPD2	GO:0005515|GO:0005524|GO:0005605|GO:0007186|GO:0009181|GO:0016021|GO:0016787|GO:0017110|GO:0017111|GO:0030168
ENSG00000188095	MESP2	GO:0001756|GO:0003677|GO:0003700|GO:0005634|GO:0006351|GO:0007219|GO:0008078|GO:0023019|GO:0045944|GO:0046983
ENSG00000157353	FUK	GO:0005524|GO:0005737|GO:0016301|GO:0016772|GO:0016773|GO:0050201
ENSG00000116209	TMEM59	GO:0000139|GO:0004175|GO:0004867|GO:0005515|GO:0005764|GO:0005765|GO:0005770|GO:0005886|GO:0006914|GO:0010508|GO:0016021|GO:0031902
ENSG00000111331	OAS3	GO:0001730|GO:0003723|GO:0003725|GO:0005515|GO:0005524|GO:0005634|GO:0005737|GO:0005829|GO:0006139|GO:0006955|GO:0009615|GO:0016740|GO:0016779|GO:0019221|GO:0043231|GO:0045071|GO:0046872|GO:0051607|GO:0060333|GO:0060337|GO:0060700
ENSG00000164897	TMUB1	GO:0005515|GO:0005634|GO:0005737|GO:0016021
ENSG00000237335	PFDN6	GO:0006457|GO:0016272|GO:0044267|GO:0051082|GO:0051084|GO:0051087|GO:0051131
ENSG00000026025	VIM	GO:0003725|GO:0005198|GO:0005200|GO:0005212|GO:0005515|GO:0005737|GO:0005777|GO:0005829|GO:0005856|GO:0005882|GO:0005886|GO:0006915|GO:0006921|GO:0006928|GO:0008022|GO:0010977|GO:0014002|GO:0019048|GO:0030049|GO:0031252|GO:0042802|GO:0042995|GO:0045103|GO:0045109|GO:0045111|GO:0060020|GO:0070062|GO:0070307|GO:0097110
ENSG00000170903	MSANTD4	GO:0003677|GO:0005634
ENSG00000005238	FAM214B	GO:0005634
ENSG00000132423	COQ3	GO:0004395|GO:0005737|GO:0005739|GO:0005759|GO:0006071|GO:0006479|GO:0006744|GO:0008152|GO:0008168|GO:0008171|GO:0008276|GO:0008425|GO:0008610|GO:0008689|GO:0008757|GO:0009312|GO:0009877|GO:0044281
ENSG00000141232	TOB1	GO:0003714|GO:0005070|GO:0005515|GO:0005737|GO:0007184|GO:0008285|GO:0017148|GO:0030014|GO:0030514|GO:0030971|GO:0045668|GO:0046332|GO:0060212|GO:0060213|GO:1900153
ENSG00000147168	IL2RG	GO:0004896|GO:0004911|GO:0004913|GO:0004917|GO:0005515|GO:0005886|GO:0005887|GO:0006955|GO:0007165|GO:0009897|GO:0009986|GO:0016020|GO:0019048|GO:0019976|GO:0019982|GO:0035771|GO:0038110|GO:0038111
ENSG00000198674	OR10G6	GO:0004930|GO:0004984|GO:0005886|GO:0007186|GO:0016021
ENSG00000106780	MEGF9	GO:0005509|GO:0005515|GO:0005575|GO:0008150|GO:0016021
ENSG00000125821	DTD1	GO:0003677|GO:0005730|GO:0005737|GO:0006260|GO:0016788|GO:0019478|GO:0046872
ENSG00000265277		GO:0003993|GO:0005737|GO:0005739|GO:0006644|GO:0052642|GO:2001311
ENSG00000172985	SH3RF3	GO:0005515|GO:0008270
ENSG00000235986	GNL1	GO:0002456|GO:0003924|GO:0005198|GO:0005525|GO:0005615|GO:0005829|GO:0006184|GO:0006974|GO:0007165|GO:0042254
ENSG00000168491	CCDC110	GO:0005634|GO:0005730|GO:0005737|GO:0005794|GO:0005886|GO:0043231
ENSG00000181767	OR8H2	GO:0004930|GO:0004984|GO:0005886|GO:0007186|GO:0016021
ENSG00000048649	RSF1	GO:0005515|GO:0005634|GO:0005654|GO:0006334|GO:0006338|GO:0006352|GO:0008270|GO:0016584|GO:0031213|GO:0034080|GO:0042393|GO:0043392|GO:0045892|GO:0045893|GO:0050434
ENSG00000211947	IGHV3-21	GO:0005515
ENSG00000177464	GPR4	GO:0004930|GO:0005886|GO:0005887|GO:0007186|GO:0016021
ENSG00000183379	SYNDIG1L	GO:0005794|GO:0009607|GO:0016021
ENSG00000173726	TOMM20	GO:0005515|GO:0005739|GO:0005740|GO:0005741|GO:0005742|GO:0006605|GO:0006626|GO:0006886|GO:0015450|GO:0016021|GO:0044267|GO:0051082
ENSG00000113595	TRIM23	GO:0000139|GO:0003924|GO:0004842|GO:0004871|GO:0005515|GO:0005525|GO:0005622|GO:0005634|GO:0005737|GO:0005765|GO:0006184|GO:0006886|GO:0007186|GO:0007264|GO:0008047|GO:0008270|GO:0015031|GO:0016567|GO:0019001|GO:0019003|GO:0019048|GO:0031683|GO:0042802|GO:0043085|GO:0046872
ENSG00000147649	MTDH	GO:0000122|GO:0001085|GO:0003713|GO:0003725|GO:0005515|GO:0005634|GO:0005730|GO:0005737|GO:0005783|GO:0005789|GO:0005923|GO:0010508|GO:0016021|GO:0016324|GO:0016604|GO:0031663|GO:0031965|GO:0043066|GO:0043123|GO:0045766|GO:0046581|GO:0048471|GO:0051059|GO:0051092|GO:0051897|GO:0070830
ENSG00000259224	SLC35G6	GO:0016020|GO:0016021
ENSG00000221840	OR4A5	GO:0004930|GO:0004984|GO:0005886|GO:0007186|GO:0016021
ENSG00000129993	CBFA2T3	GO:0000139|GO:0003682|GO:0003700|GO:0005515|GO:0005622|GO:0005654|GO:0005730|GO:0006351|GO:0006355|GO:0008283|GO:0030851|GO:0045944|GO:0046872
ENSG00000186088	GSAP	GO:0001540|GO:0005794|GO:0005802|GO:0030162|GO:0034205
ENSG00000165521	EML5	GO:0003824|GO:0005515|GO:0005737|GO:0005874
